"Section","key","English (reference — do not edit)","Khmer (edit here)","Chinese (edit here)","Notes for Claude"
"Footer","footer.logoAlt","Roomchang Dental Hospital","មន្ទីរពេទ្យទន្តសាស្ត្រ Roomchang","Roomchang牙科医院",""
"Footer","footer.phoneMobile247","(Mobile 24/7)","(ទូរស័ព្ទ ២៤/៧)","（全天候24/7）",""
"Footer","footer.social.wechat","WeChat","WeChat","微信",""
"Footer","footer.tagline","Premium dental care for local and international patients. Multilingual, technology-first, and rooted in compassionate care since 1996.","សេវាព្យាបាលធ្មេញមានគុណភាពខ្ពស់ សម្រាប់អ្នកជំងឺក្នុងស្រុក និងអន្តរជាតិ។ អាចនិយាយបានច្រើនភាសា បច្ចេកវិទ្យាទំនើប និងកេរ្តិ៍ឈ្មោះល្អចាប់តាំងពីឆ្នាំ ១៩៩៦។","为本地及国际患者提供优质牙科医疗服务。多语言、技术领先，自1996年起以仁心仁术服务大众。",""
"Header","header.ariaLabel","Roomchang Dental Hospital","មន្ទីរពេទ្យទន្តសាស្ត្រ Roomchang","Roomchang牙科医院",""
"Header","header.bookAppointment","Book Appointment","ធ្វើការណាត់ជួប","预约挂号",""
"Header","header.homeAriaLabel","Roomchang Dental Hospital home","ទំព័រដើម មន្ទីរពេទ្យទន្តសាស្ត្រ Roomchang","Roomchang牙科医院首页",""
"Header","header.logoAlt","Roomchang Dental Hospital logo","ស្លាកសញ្ញា មន្ទីរពេទ្យទន្តសាស្ត្រ Roomchang","Roomchang牙科医院标志",""
"Header","header.primaryNavAriaLabel","Primary","មុខងារនាំផ្លូវមេ","主导航",""
"Home — hero","homeHero.ctaPrimary","Request An Appointment","ស្នើសុំការណាត់ជួប","预约挂号",""
"Home — hero","homeHero.ctaSecondary","Explore Services","ស្វែងរកសេវាកម្ម","浏览诊疗项目",""
"Home — hero","homeHero.ctaTertiary","Our Doctors","ទន្តបណ្ឌិតរបស់យើងខ្ញុំ","医生团队",""
"Home — hero","homeHero.scrollAriaLabel","Scroll to next section","ផ្នែកបន្ទាប់","滚动到下一部分",""
"Home — hero","homeHero.slide.allStaff.alt","Roomchang Dental Hospital all staff group photo","រូបថតបុគ្គលិកទាំងអស់របស់ មន្ទីរពេទ្យទន្តសាស្ត្រ Roomchang","Roomchang牙科医院全体员工合影",""
"Home — hero","homeHero.slide.allStaff.description","From a single practice to Cambodia’s most trusted dental hospital — hospital-grade standards, multilingual care, and built for every patient.","ពីគ្លីនិកតូចមួយប្រែក្លាយជាមន្ទីរពេទ្យទន្តសាស្ត្រដែលគួរឱ្យទុកចិត្តបំផុតរបស់កម្ពុជា — ស្តង់ដារមន្ទីរពេទ្យ សេវាពហុភាសា សាកសមសម្រាប់អ្នកជំងឺគ្រប់រូប។","从一间小诊所到柬埔寨最受信赖的牙科医院——医院级标准、多语言服务，为每一位患者而建。",""
"Home — hero","homeHero.slide.allStaff.eyebrow","Trusted since 1996","ទំនុកចិត្តចាប់តាំងពីឆ្នាំ ១៩៩៦","值得信赖，始于1996",""
"Home — hero","homeHero.slide.allStaff.title","Nearly 30 Years of Exceptional Care","ជាង ៣០ ឆ្នាំនៃការថែទាំមាត់ធ្មេញដ៏ល្អឥតខ្ចោះ","近30年卓越医疗",""
"Home — hero","homeHero.slide.care.alt","Roomchang staff with a patient in a treatment room","បុគ្គលិក Roomchang ជាមួយអ្នកជំងឺក្នុងបន្ទប់ព្យាបាល","Roomchang医护人员在诊室中为患者服务",""
"Home — hero","homeHero.slide.care.description","Our multilingual team speaks your language — literally. Consultations in English, Khmer, Mandarin, Japanese, German, and French.","ក្រុមការងារយើងខ្ញុំអាចនិយាយបានច្រើនភាសា។ ពិគ្រោះយោបល់ជាភាសាអង់គ្លេស ខ្មែរ ចិន ជប៉ុន អាល្លឺម៉ង់ និងបារាំង។","我们的多语言团队用您的语言为您服务。可使用英语、柬语、普通话、日语、德语和法语进行问诊。",""
"Home — hero","homeHero.slide.care.eyebrow","Patient-first care","ផ្ដោតលើអ្នកជំងឺជានិច្ច","以患者为先",""
"Home — hero","homeHero.slide.care.title","Dentistry That Puts You at Ease","ការព្យាបាលមាត់ធ្មេញប្រកបដោយផាសុខភាពនិងទំនុកចិត្ត","让您安心的牙科诊疗",""
"Home — hero","homeHero.slide.digital.alt","Roomchang staff working with digital dental laboratory technology","បុគ្គលិក Roomchang ធ្វើការជាមួយបច្ចេកវិទ្យាផលិតគ្រាប់ធ្មេញ បែបឌីជីថល","Roomchang员工操作数字化牙科实验室设备",""
"Home — hero","homeHero.slide.digital.description","CAD/CAM technology, 3D CBCT imaging, intraoral scanning, and Clear Aligner (CA) fabrication — made and fitted right here.","បច្ចេកវិទ្យា CAD/CAM រូបភាព 3D CBCT ស្កេនមាត់ និងការផលិត Clear Aligner (CA) — ផលិត និងដំឡើងនៅទីនេះ។","CAD/CAM技术、3D CBCT影像、口内扫描以及Clear Aligner (CA) 隐形矫治器——均在院内制作和安装。",""
"Home — hero","homeHero.slide.digital.eyebrow","Digital dentistry","ទន្តសាស្ត្រឌីជីថល","数字化牙科",""
"Home — hero","homeHero.slide.digital.title","Precision Technology, Every Treatment","បច្ចេកវិទ្យាទំនើប រាល់ការព្យាបាល","精准技术，每一次治疗",""
"Home — hero","homeHero.slide.team.alt","Roomchang Dental Hospital full team photo","រូបថតក្រុមការងារមន្ទីរពេទ្យទន្តសាស្ត្រ Roomchang","Roomchang牙科医院全体团队合影",""
"Home — hero","homeHero.slide.team.description","Implantologists, orthodontists, cosmetic specialists, and general dentists — all under one roof, across five branches in Phnom Penh.","អ្នកឯកទេសដាក់បង្គោលធ្មេញ ពត់តម្រង់ធ្មេញ កែសម្ភស្សធ្មេញ និងទន្តពេទ្យទូទៅ — ទាំងអស់គ្នាស្ថិតនៅក្រោមដំបូលតែមួយ ក្នុងសាខាទាំង ៥ របស់Roomchangនៅភ្នំពេញ។","种植专家、正畸专家、美容牙科专家和全科牙医——汇聚金边五家分院，为您提供全方位服务。",""
"Home — hero","homeHero.slide.team.eyebrow","Cambodia's leading dental group","ក្រុមទន្តសាស្ត្រឈានមុខរបស់កម្ពុជា","柬埔寨领先的牙科医疗集团",""
"Home — hero","homeHero.slide.team.title","37 Specialist Dentists, One Team","ទន្តបណ្ឌិតឯកទេស ៣៧ នាក់ ក្នុងក្រុមតែមួយ","37位专科医生，同一团队",""
"Home — hero","homeHero.trustPill","Trusted Since 1996","ទំនុកចិត្តចាប់តាំងពីឆ្នាំ ១៩៩៦","始创于1996年",""
"Home — highlights","homeHighlights.card.aligner.alt","Roomchang clear aligner treatment","ការពត់តម្រង់ធ្មេញដោយប្រើជ័រថ្លា Clear Aligner នៅ Roomchang","Roomchang隐形矫治器治疗",""
"Home — highlights","homeHighlights.card.aligner.cta","Learn more","ស្វែងយល់បន្ថែម","了解更多",""
"Home — highlights","homeHighlights.card.aligner.description","Designed, fabricated, and fitted in-house for a precise, discreet result.","រចនា ផលិត និងដំឡើងក្នុងមន្ទីរពេទ្យ សម្រាប់លទ្ធផលជាក់លាក់ និងស្អាត។","在院内设计、制作和安装，确保精准、美观的矫治效果。",""
"Home — highlights","homeHighlights.card.aligner.title","Clear Aligner (CA)","ជ័រថ្លាពត់តម្រង់ធ្មេញ Clear Aligner (CA)","Clear Aligner (CA) 隐形矫治",""
"Home — highlights","homeHighlights.card.international.alt","Roomchang patient care team","ក្រុមការងារថែទាំអ្នកជំងឺ របស់ Roomchang","Roomchang患者服务团队",""
"Home — highlights","homeHighlights.card.international.cta","Plan your trip","រៀបចំផែនការធ្វើដំណើរ","规划行程",""
"Home — highlights","homeHighlights.card.international.description","Thousands of patients from Australia, Japan, Singapore, and beyond visit Roomchang each year. We make the journey simple.","អ្នកជំងឺរាប់ពាន់នាក់ពីអូស្ត្រាលី នូវែលសេឡង់ អាមេរិក  និងជុំវិញពិភពលោកមកកាន់Roomchang រៀងរាល់ឆ្នាំ។ យើងខ្ញុំជួយសម្របសម្រួលការធ្វើដំណើរឱ្យកាន់តែងាយស្រួល។","每年有数千名来自澳大利亚、日本、新加坡及世界各地的患者前来Roomchang就诊。我们让整个过程简单便捷。",""
